Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Működési kiadás;Működési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.d;FJ33;6;7;0;0;0;0;Fiatal kutatók pályázatos támogatása;898,3;;;;898,3;0
F01;F01.c;FJ33;6;8;0;0;0;0;Nemzetközi kapcsolatok és nemzetközi tagdíjak;170;;;;170;0
F01;F01.d;FJ33;6;9;0;0;0;0;Posztdoktori pályázatok támogatása;845;;;;845;0
F01;F01.d;FJ33;6;10;0;0;0;0;Szakmai feladatok teljesítése;428,4;;;;428,4;0
F01;F01.d;FJ33;6;11;0;0;0;0;Kiválósági központok támogatása;300;;;;300;0
F01;F01.d;FJ33;6;12;0;0;0;0;Központi kezelésű felújítások;;;723,8;;723,8;0
F01;F01.d;FJ33;6;13;0;0;0;0;MTA Agrártudományi Kutatóközpont fejlesztése;128;;2 872,00;;3000;0
F01;F01.d;FJ33;6;14;0;0;0;0;MTA Agrártudományi Kutatóközpont Látogatóközpont;81;;319;;400;0
F01;F01.d;FJ33;6;15;0;0;0;0;MTA Kísérleti Orvostudományi Kutatóintézet fejlesztése;;;3 500,00;;3500;0
F01;F01.d;FJ34;0;0;0;0;0;0;XXXIV. MAGYAR MŰVÉSZETI AKADÉMIA;;;;;0;0
F01;F01.d;FJ34;1;0;0;0;0;0;MMA Titkársága;;;;;0;0
F01;F01.a;FJ34;1;1;0;0;0;0;MMA Titkárság Igazgatása, köztestületi feladatok;;;;;0;0
F01;F01.a;FJ34;1;1;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.a;FJ34;1;1;0;0;1;1;Személyi juttatások;2 510,70;;;;2510,7;0
F01;F01.a;FJ34;1;1;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;536,4;;;;536,4;0
F01;F01.a;FJ34;1;1;0;0;1;3;Dologi kiadások;1 006,00;;;;1006;0
F01;F01.a;FJ34;1;1;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.a;FJ34;1;1;0;0;2;6;Beruházások;;;136;;136;0
F01;F01.d;FJ34;3;0;0;0;0;0;MMA Kutatóintézet;;;;;0;0
F01;F01.d;FJ34;3;0;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ34;3;0;0;0;1;1;Személyi juttatások;149,9;;;;149,9;0
F01;F01.d;FJ34;3;0;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;42,6;;;;42,6;0
F01;F01.d;FJ34;3;0;0;0;1;3;Dologi kiadások;36,9;;;;36,9;0
F01;F01.d;FJ34;3;0;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.d;FJ34;3;0;0;0;2;6;Beruházások;;;23;;23;0
F01;F01.d;FJ34;4;0;0;0;0;0;Fejezeti kezelésű előirányzatok;;;;;0;0
F08;F08.b;FJ34;4;1;0;0;0;0;Országos művészeti társaságok, szövetségek támogatása;105;;;;105;0
F08;F08.b;FJ34;4;2;0;0;0;0;Magyar Művészetek Háza programok;188;;;;188;0
F08;F08.b;FJ34;4;3;0;0;0;0;Nemzetközi programok, konferenciák, nemzetközi tagdíjak;15;;;;15;0
F08;F08.b;FJ34;4;6;0;0;0;0;Kutatási tevékenység támogatása;55;;;;55;0
F08;F08.b;FJ34;4;7;0;0;0;0;Pályázati alapok;200;;;;200;0
F08;F08.b;FJ34;4;8;0;0;0;0;Pesti Vigadó művészeti programok;13;;;;13;0
F08;F08.b;FJ34;4;11;0;0;0;0;Gazdasági társaságok által ellátott kulturális feladatok támogatása;675;;;;675;0
F08;F08.b;FJ34;4;13;0;0;0;0;Nemzeti Szalon programjai;64;;16;;80;0
F08;F08.b;FJ34;4;14;0;0;0;0;MMA végleges elhelyezésére szolgáló irodaház rekonstrukciója;;;4 800,00;;4800;0
